"listing_id","revision_date","revised_asking_price"
"8918188","2020-03-13","169950"
"8931589","2020-07-17","319500"
"8975478","2020-03-09","335000"
"8979448","2020-05-30","299950"
"8980969","2021-01-09","185000"
"8989390","2020-08-27","155000"
"9017559","2020-07-09","225000"
"9024323","2020-03-05","210000"
"9041987","2020-07-13","350000"
"9060748","2020-02-25","650000"
"9071043","2020-07-16","255000"
"9082140","2020-06-13","249950"
"9123069","2020-09-14","215000"
"9123069","2020-11-02","200000"
"9153785","2020-09-10","140000"
"9226004","2020-08-03","122995"
"9240776","2020-08-20","250000"
"9276797","2021-02-17","175000"
"9276797","2021-03-25","170000"
"9282543","2020-08-01","150000"
"9296233","2020-11-05","350000"
"9306139","2020-07-07","1100000"
"9316439","2020-09-11","240000"
"9331154","2020-07-24","310000"
"9387192","2020-08-20","420000"
"9447784","2020-04-28","635000"
"9447784","2020-06-15","610000"
"9451100","2020-09-12","435000"
"9516145","2020-09-18","379950"
"9559682","2020-07-15","575000"
"9570714","2020-06-11","975000"
"9570714","2020-06-26","975000"
"9640583","2020-06-30","190000"
"9649700","2020-07-15","165000"
"9691030","2020-09-30","290000"
"9697980","2020-06-29","530000"
"13467305","2021-05-10","425000"
"13475467","2021-07-08","215995"
"13489700","2021-06-01","320000"
"13505296","2021-12-26","245000"
"13549862","2022-01-17","325000"
"13578826","2021-07-18","350000"
"13578826","2021-09-13","370000"
"13586448","2021-05-27","240000"
"13619145","2021-07-14","125000"
"13619338","2021-07-01","364950"
"13623739","2021-06-11","200000"
"13623739","2021-09-14","175000"
"13635589","2021-06-23","540000"
"13638224","2021-06-07","190000"
"13657737","2021-08-18","225000"
"13657969","2021-11-24","175000"
"13664623","2021-09-28","120000"
"13679657","2021-08-10","199950"
"13696580","2021-07-09","105000"
"13708595","2021-08-02","210000"
"13736926","2021-07-12","385000"
"13746331","2021-06-03","240000"
"13754378","2021-03-02","250000"
"13771057","2021-11-04","950000"
"13777008","2021-06-22","1150000"
"13813154","2021-11-23","205000"
"13813154","2021-12-20","200000"
"13918192","2021-07-28","299950"
"14043537","2021-07-28","235000"
"14043537","2021-08-03","245000"
"14068508","2021-07-09","455000"
"14186179","2021-07-17","160000"
"14191880","2021-09-09","210000"
"14191880","2022-02-02","195000"
"14219755","2021-11-08","191950"
"14220945","2021-08-05","265500"
"14275960","2021-08-11","245000"
"14301428","2021-09-24","485000"
"14302820","2022-03-10","160000"
"14302820","2022-06-10","150000"
"14375328","2022-01-21","204950"
"14388184","2022-04-04","140000"
"14406709","2021-08-10","150000"
"14411575","2021-08-23","600000"
"14411575","2021-10-05","595000"
"14429254","2022-02-16","435000"
"14462965","2021-10-01","240000"
"14475147","2021-05-26","375000"
"14524390","2021-11-23","425000"
"14548948","2021-11-03","245000"
"14587917","2021-08-27","185000"
"14655571","2021-09-20","255000"
"14655571","2021-10-25","245000"
"14656127","2022-04-07","162500"
"14656127","2022-04-07","160000"
"14716832","2021-12-02","259950"
"14781775","2021-09-30","800000"
"14782061","2021-09-24","130000"
"14837573","2022-01-04","135000"
"14847802","2021-10-29","160000"
"14849580","2021-11-09","300000"
"14862286","2021-09-28","344995"
"14870815","2021-10-25","440000"
"14924622","2021-12-16","334950"
"14924622","2022-03-01","319000"
"14993702","2022-03-04","525000"
"15013151","2021-09-07","240000"
"15019035","2021-08-04","90000"
"15045539","2021-10-19","164995"
"15053332","2022-07-25","260000"
"15061494","2022-01-14","455000"
"15072852","2022-02-23","220000"
"15102369","2022-04-25","110000"
"15112134","2022-04-25","329950"
"15167658","2022-05-30","285000"
"15170211","2021-12-25","625000"
"15170211","2022-02-04","625000"
"15185252","2021-12-26","290000"
"15205533","2022-02-28","325000"
"15206816","2021-12-01","80000"
"15248060","2021-11-11","225000"
"15278307","2022-04-20","175000"
"15305081","2022-02-28","319995"
"15449824","2022-01-17","160000"
"15450053","2021-12-04","125000"
"15479731","2022-02-04","355000"
"15530887","2022-03-07","349995"
