"listing_id","listing_date","listing_type","property_type","tenure","bedroom_count","location","asking_price","revision_date","active_days","is_5percent_reduced"
15526443,2021-12-16,"buy","flat","leasehold",2,"Gloucester",155000,2021-12-16,0,"no"
15528531,2021-12-16,"buy","house","freehold",3,"Coventry",225000,2022-01-11,0,"no"
15542023,2021-09-07,"buy","house","freehold",2,"Reading",325000,2021-10-16,0,"no"
15550261,2021-12-22,"buy","house","freehold",3,"Sheffield",270000,2022-05-11,0,"no"
15557544,2021-12-22,"buy","house","freehold",4,"Warrington",299950,2022-01-25,0,"no"
15565980,2021-12-24,"buy","house","freehold",2,"Watford",450000,2022-02-25,0,"no"
15572199,2021-12-25,"buy","house","freehold",3,"Leicester",315000,2022-05-20,0,"no"
15573236,2021-12-25,"buy","house","freehold",3,"Leicester",280000,2021-12-28,0,"yes"
15573375,2021-12-26,"buy","house","unknown",3,"Exeter",350000,2022-02-17,0,"no"
15574314,2021-12-26,"buy","house","freehold",3,"Mansfield",110000,2022-01-11,0,"yes"
15574325,2021-12-25,"buy","flat","leasehold",2,"Sheffield",110000,2022-08-10,6,"yes"
15583326,2021-12-29,"buy","flat","leasehold",2,"Plymouth",135000,2022-01-10,0,"no"
15584602,2021-12-17,"buy","flat","leasehold",2,"Salford",240950,2021-12-30,0,"no"
15585306,2021-12-24,"buy","flat","leasehold",1,"Salford",177950,2021-12-30,0,"no"
15595014,2022-01-04,"buy","house","freehold",3,"Newcastle Upon Tyne",230000,2022-06-24,0,"no"
15609108,2021-09-28,"buy","house","unknown",3,"Exeter",280000,2022-06-01,187,"no"
15625905,2022-01-07,"buy","house","freehold",4,"Plymouth",599950,2022-01-28,0,"no"
15646863,2022-01-11,"buy","house","freehold",3,"Leicester",260000,2022-03-04,0,"no"
15659367,2022-01-11,"buy","house","freehold",2,"Cheltenham",340000,2022-03-02,0,"no"
15663944,2021-11-25,"buy","flat","leasehold",1,"Salford",155000,2022-05-09,0,"no"
15675134,2022-01-13,"buy","house","unknown",2,"Salford",3e+05,2022-03-24,0,"no"
15692436,2022-01-14,"buy","house","freehold",4,"Newcastle Upon Tyne",325000,2022-02-14,0,"yes"
15693327,2022-01-15,"buy","house","freehold",4,"Newcastle Upon Tyne",220000,2022-06-24,0,"no"
15695625,2022-01-17,"buy","house","freehold",5,"Cardiff",4e+05,2022-01-17,0,"no"
15710442,2022-01-18,"buy","flat","leasehold",2,"Coventry",125000,2022-04-22,22,"no"
15710860,2022-01-18,"buy","flat","leasehold",2,"Surbiton",399950,2022-08-03,0,"no"
15724738,2021-04-26,"buy","flat","leasehold",2,"Coventry",1e+05,2022-01-19,0,"no"
15738709,2022-01-18,"buy","house","freehold",4,"Sheffield",290000,2022-04-14,0,"yes"
15748739,2021-12-25,"buy","house","freehold",3,"Gillingham",180000,2022-07-07,0,"no"
17166595,2022-06-09,"buy","house","freehold",4,"Warrington",370000,2022-06-23,0,"yes"
17168716,2022-06-09,"buy","flat","leasehold",1,"Surbiton",310000,2022-07-11,0,"no"
17174394,2022-06-10,"buy","house","freehold",3,"Leicester",345000,2022-07-07,10,"yes"
17188813,2022-06-10,"buy","flat","leasehold",2,"Salford",240000,2022-07-16,0,"no"
17208635,2022-06-13,"buy","flat","leasehold",1,"Basildon",2e+05,2022-07-18,0,"yes"
17226026,2022-06-14,"buy","flat","leasehold",1,"Barnet",325000,2022-06-29,0,"yes"
17245491,2022-06-16,"buy","house","freehold",5,"Salford",4e+05,2022-08-23,54,"yes"
17251214,2022-06-16,"buy","house","freehold",5,"Plymouth",1500000,2022-07-20,21,"yes"
17364572,2022-06-27,"buy","house","freehold",5,"Chelmsford",775000,2022-08-05,0,"no"
