Driver,LapNumber,LapTime
VER,1.0,82.992
VER,2.0,81.131
VER,3.0,81.258
VER,4.0,81.218
VER,5.0,81.228
VER,6.0,80.977
VER,7.0,81.496
VER,8.0,81.206
VER,9.0,81.194
VER,10.0,81.257
VER,11.0,81.289
VER,12.0,81.51
VER,13.0,81.435
VER,14.0,81.402
VER,15.0,81.231
VER,16.0,81.276
VER,17.0,81.024
VER,18.0,80.856
VER,19.0,81.255
VER,20.0,81.206
VER,21.0,81.115
VER,22.0,81.161
VER,23.0,81.464
VER,24.0,81.254
VER,25.0,81.36
VER,26.0,81.079
VER,27.0,81.316
VER,28.0,81.579
VER,29.0,92.728
VER,30.0,132.679
VER,31.0,97.145
VER,32.0,80.33
VER,33.0,80.347
VER,34.0,80.271
VER,35.0,80.12
VER,36.0,79.96
VER,37.0,79.706
VER,38.0,79.788
VER,39.0,79.755
VER,40.0,79.653
VER,41.0,79.639
VER,42.0,79.513
VER,43.0,79.553
VER,44.0,79.79
VER,45.0,80.167
VER,46.0,94.977
VER,47.0,135.004
VER,48.0,132.549
VER,49.0,125.432
VER,50.0,130.206
VER,51.0,122.243
VER,52.0,120.293
VER,53.0,131.387
VER,54.0,78.611
VER,55.0,78.214
VER,56.0,78.101
VER,57.0,78.22
VER,58.0,77.988
VER,59.0,78.037
VER,60.0,78.439
VER,61.0,78.399
VER,62.0,78.597
VER,63.0,78.589
NOR,1.0,85.806
NOR,2.0,81.819
NOR,3.0,81.462
NOR,4.0,81.647
NOR,5.0,81.581
NOR,6.0,81.518
NOR,7.0,81.347
NOR,8.0,81.71
NOR,9.0,82.486
NOR,10.0,82.982
NOR,11.0,83.05
NOR,12.0,82.021
NOR,13.0,81.292
NOR,14.0,81.322
NOR,15.0,81.056
NOR,16.0,80.829
NOR,17.0,80.833
NOR,18.0,81.122
NOR,19.0,80.946
NOR,20.0,81.171
NOR,21.0,81.243
NOR,22.0,80.918
NOR,23.0,81.188
NOR,24.0,81.267
NOR,25.0,81.558
NOR,26.0,81.297
NOR,27.0,81.492
NOR,28.0,86.185
NOR,29.0,125.011
NOR,30.0,113.583
NOR,31.0,89.58
NOR,32.0,79.816
NOR,33.0,80.04
NOR,34.0,80.048
NOR,35.0,79.944
NOR,36.0,79.853
NOR,37.0,79.628
NOR,38.0,79.546
NOR,39.0,79.645
NOR,40.0,79.512
NOR,41.0,79.466
NOR,42.0,79.636
NOR,43.0,79.753
NOR,44.0,79.782
NOR,45.0,80.402
NOR,46.0,102.996
NOR,47.0,134.547
NOR,48.0,112.199
NOR,49.0,123.822
NOR,50.0,128.986
NOR,51.0,123.003
NOR,52.0,119.123
NOR,53.0,130.02
NOR,54.0,79.799
NOR,55.0,79.218
NOR,56.0,78.804
NOR,57.0,78.946
NOR,58.0,78.68
NOR,59.0,78.432
NOR,60.0,78.48
NOR,61.0,78.864
NOR,62.0,78.685
NOR,63.0,78.311
